machine_type	instance_count	slots	memory	data_size_MB	features	observations	k	gross_runtime
r4.2xlarge	6	48	366000	21300	5	200000000	3	316
r4.2xlarge	6	48	366000	21300	5	200000000	5	346
r4.2xlarge	6	48	366000	21300	5	200000000	5	348
r4.2xlarge	6	48	366000	21300	5	200000000	5	358
r4.2xlarge	6	48	366000	21300	5	200000000	5	360
r4.2xlarge	6	48	366000	21300	5	200000000	7	364
r4.2xlarge	6	48	366000	21300	5	200000000	7	370
r4.2xlarge	6	48	366000	21300	5	200000000	7	372
r4.2xlarge	6	48	366000	21300	5	200000000	7	382
r4.2xlarge	6	48	366000	21300	5	200000000	9	380
r4.2xlarge	6	48	366000	21300	5	200000000	9	382
r4.2xlarge	6	48	366000	21300	5	200000000	9	388
r4.2xlarge	6	48	366000	21300	5	200000000	9	392
r4.2xlarge	6	48	366000	21300	5	200000000	9	394
r4.2xlarge	6	48	366000	30500	15	100000000	3	262
r4.2xlarge	6	48	366000	30500	15	100000000	3	264
r4.2xlarge	6	48	366000	30500	15	100000000	3	266
r4.2xlarge	6	48	366000	30500	15	100000000	3	268
r4.2xlarge	6	48	366000	30500	15	100000000	5	310
r4.2xlarge	6	48	366000	30500	15	100000000	5	312
r4.2xlarge	6	48	366000	30500	15	100000000	5	314
r4.2xlarge	6	48	366000	30500	15	100000000	7	320
r4.2xlarge	6	48	366000	30500	15	100000000	7	322
r4.2xlarge	6	48	366000	30500	15	100000000	7	324
r4.2xlarge	6	48	366000	30500	15	100000000	9	330
r4.2xlarge	6	48	366000	30500	15	100000000	9	332
r4.2xlarge	6	48	366000	30500	15	100000000	9	334
r4.xlarge	6	24	183000	16000	5	150000000	3	472
r4.xlarge	6	24	183000	16000	5	150000000	3	478
r4.xlarge	6	24	183000	16000	5	150000000	3	484
r4.xlarge	6	24	183000	16000	5	150000000	3	488
m4.2xlarge	8	64	256000	16000	5	150000000	3	194
m4.2xlarge	8	64	256000	16000	5	150000000	3	196
m4.2xlarge	8	64	256000	16000	5	150000000	3	198
r4.2xlarge	8	64	488000	10500	5	100000000	3	136
r4.2xlarge	8	64	488000	10500	5	100000000	3	138
r4.2xlarge	8	64	488000	10500	5	100000000	3	140
r4.2xlarge	8	64	488000	10500	5	100000000	3	142
r4.2xlarge	8	64	488000	10500	5	100000000	3	144
r4.2xlarge	8	64	488000	10500	5	100000000	5	168
r4.2xlarge	8	64	488000	10500	5	100000000	5	174
r4.2xlarge	8	64	488000	10500	5	100000000	5	176
r4.2xlarge	8	64	488000	10500	5	100000000	7	170
r4.2xlarge	8	64	488000	10500	5	100000000	7	178
r4.2xlarge	8	64	488000	10500	5	100000000	7	184
r4.2xlarge	8	64	488000	10500	5	100000000	9	184
r4.2xlarge	8	64	488000	10500	5	100000000	9	188
r4.2xlarge	8	64	488000	13200	5	125000000	3	152
r4.2xlarge	8	64	488000	13200	5	125000000	3	154
r4.2xlarge	8	64	488000	13200	5	125000000	5	176
r4.2xlarge	8	64	488000	13200	5	125000000	5	178
r4.2xlarge	8	64	488000	13200	5	125000000	5	180
r4.2xlarge	8	64	488000	13200	5	125000000	5	182
r4.2xlarge	8	64	488000	13200	5	125000000	7	182
r4.2xlarge	8	64	488000	13200	5	125000000	7	186
r4.2xlarge	8	64	488000	13200	5	125000000	7	188
r4.2xlarge	8	64	488000	13200	5	125000000	9	190
r4.2xlarge	8	64	488000	13200	5	125000000	9	192
r4.2xlarge	8	64	488000	13200	5	125000000	9	196
r4.2xlarge	8	64	488000	16000	5	150000000	3	180
r4.2xlarge	8	64	488000	16000	5	150000000	3	182
r4.2xlarge	8	64	488000	16000	5	150000000	3	184
r4.2xlarge	8	64	488000	16000	5	150000000	5	212
r4.2xlarge	8	64	488000	16000	5	150000000	5	218
r4.2xlarge	8	64	488000	16000	5	150000000	5	222
r4.2xlarge	8	64	488000	16000	5	150000000	5	224
r4.2xlarge	8	64	488000	16000	5	150000000	7	224
r4.2xlarge	8	64	488000	16000	5	150000000	7	226
r4.2xlarge	8	64	488000	16000	5	150000000	7	228
r4.2xlarge	8	64	488000	16000	5	150000000	7	238
r4.2xlarge	8	64	488000	16000	5	150000000	9	230
r4.2xlarge	8	64	488000	16000	5	150000000	9	232
r4.2xlarge	8	64	488000	16000	5	150000000	9	234
r4.2xlarge	8	64	488000	16000	5	150000000	9	240
r4.2xlarge	8	64	488000	18600	5	175000000	3	192
r4.2xlarge	8	64	488000	18600	5	175000000	5	230
r4.2xlarge	8	64	488000	18600	5	175000000	5	234
r4.2xlarge	8	64	488000	18600	5	175000000	5	238
r4.2xlarge	8	64	488000	18600	5	175000000	5	240
r4.2xlarge	8	64	488000	18600	5	175000000	7	242
r4.2xlarge	8	64	488000	18600	5	175000000	7	244
r4.2xlarge	8	64	488000	18600	5	175000000	9	242
r4.2xlarge	8	64	488000	18600	5	175000000	9	250
r4.2xlarge	8	64	488000	18600	5	175000000	9	252
r4.2xlarge	8	64	488000	20300	10	100000000	3	186
r4.2xlarge	8	64	488000	20300	10	100000000	3	188
r4.2xlarge	8	64	488000	20300	10	100000000	3	190
r4.2xlarge	8	64	488000	20300	10	100000000	5	190
r4.2xlarge	8	64	488000	20300	10	100000000	5	192
r4.2xlarge	8	64	488000	20300	10	100000000	7	198
r4.2xlarge	8	64	488000	20300	10	100000000	9	202
r4.2xlarge	8	64	488000	20300	10	100000000	9	204
r4.2xlarge	8	64	488000	20300	10	100000000	9	206
r4.2xlarge	8	64	488000	21300	5	200000000	3	232
r4.2xlarge	8	64	488000	21300	5	200000000	3	234
r4.2xlarge	8	64	488000	21300	5	200000000	3	236
r4.2xlarge	8	64	488000	21300	5	200000000	5	262
r4.2xlarge	8	64	488000	21300	5	200000000	5	265
r4.2xlarge	8	64	488000	21300	5	200000000	5	266
r4.2xlarge	8	64	488000	21300	5	200000000	5	268
r4.2xlarge	8	64	488000	21300	5	200000000	7	276
r4.2xlarge	8	64	488000	21300	5	200000000	7	278
r4.2xlarge	8	64	488000	21300	5	200000000	7	280
r4.2xlarge	8	64	488000	21300	5	200000000	9	286
r4.2xlarge	8	64	488000	21300	5	200000000	9	290
r4.2xlarge	8	64	488000	21300	5	200000000	9	296
r4.2xlarge	8	64	488000	30500	15	100000000	3	202
r4.2xlarge	8	64	488000	30500	15	100000000	3	204
r4.2xlarge	8	64	488000	30500	15	100000000	3	206
r4.2xlarge	8	64	488000	30500	15	100000000	5	242
r4.2xlarge	8	64	488000	30500	15	100000000	5	246
r4.2xlarge	8	64	488000	30500	15	100000000	7	248
r4.2xlarge	8	64	488000	30500	15	100000000	7	250
r4.2xlarge	8	64	488000	30500	15	100000000	7	252
r4.2xlarge	8	64	488000	30500	15	100000000	7	254
r4.2xlarge	8	64	488000	30500	15	100000000	9	256
r4.2xlarge	8	64	488000	30500	15	100000000	9	258
r4.2xlarge	8	64	488000	30500	15	100000000	9	260
r4.2xlarge	8	64	488000	30500	15	100000000	9	262
r4.xlarge	8	32	244000	16000	5	150000000	3	338
r4.xlarge	8	32	244000	16000	5	150000000	3	340
r4.xlarge	8	32	244000	16000	5	150000000	3	342
r4.xlarge	8	32	244000	16000	5	150000000	3	346
m4.2xlarge	10	80	320000	16000	5	150000000	3	150
m4.2xlarge	10	80	320000	16000	5	150000000	3	152
m4.2xlarge	10	80	320000	16000	5	150000000	3	154
m4.2xlarge	10	80	320000	16000	5	150000000	3	156
r4.2xlarge	10	80	610000	10500	5	100000000	3	120
r4.2xlarge	10	80	610000	10500	5	100000000	3	122
r4.2xlarge	10	80	610000	10500	5	100000000	3	124
r4.2xlarge	10	80	610000	10500	5	100000000	3	126
r4.2xlarge	10	80	610000	10500	5	100000000	3	134
r4.2xlarge	10	80	610000	10500	5	100000000	5	148
r4.2xlarge	10	80	610000	10500	5	100000000	5	150
r4.2xlarge	10	80	610000	10500	5	100000000	5	156
r4.2xlarge	10	80	610000	10500	5	100000000	5	160
r4.2xlarge	10	80	610000	10500	5	100000000	7	148
r4.2xlarge	10	80	610000	10500	5	100000000	7	152
r4.2xlarge	10	80	610000	10500	5	100000000	7	156
r4.2xlarge	10	80	610000	10500	5	100000000	7	162
r4.2xlarge	10	80	610000	10500	5	100000000	7	164
r4.2xlarge	10	80	610000	10500	5	100000000	9	162
r4.2xlarge	10	80	610000	10500	5	100000000	9	164
r4.2xlarge	10	80	610000	10500	5	100000000	9	168
r4.2xlarge	10	80	610000	10500	5	100000000	9	172
r4.2xlarge	10	80	610000	13200	5	125000000	5	168
r4.2xlarge	10	80	610000	16000	5	150000000	9	190
r4.2xlarge	10	80	610000	18600	5	175000000	5	200
r4.2xlarge	10	80	610000	20300	10	100000000	5	170
r4.2xlarge	10	80	610000	21300	5	200000000	5	224
r4.2xlarge	10	80	610000	30500	15	100000000	3	172
r4.2xlarge	10	80	610000	30500	15	100000000	3	174
r4.2xlarge	10	80	610000	30500	15	100000000	3	176
r4.2xlarge	10	80	610000	30500	15	100000000	5	204
r4.2xlarge	10	80	610000	30500	15	100000000	5	206
r4.2xlarge	10	80	610000	30500	15	100000000	7	206
r4.2xlarge	10	80	610000	30500	15	100000000	7	210
r4.2xlarge	10	80	610000	30500	15	100000000	7	212
r4.2xlarge	10	80	610000	30500	15	100000000	7	214
r4.2xlarge	10	80	610000	30500	15	100000000	9	216
r4.2xlarge	10	80	610000	30500	15	100000000	9	218
r4.xlarge	10	40	305000	16000	5	150000000	3	252
m4.2xlarge	12	96	384000	16000	5	150000000	3	148
m4.2xlarge	12	96	384000	16000	5	150000000	3	150
r4.2xlarge	12	96	732000	10500	5	100000000	3	94
r4.2xlarge	12	96	732000	10500	5	100000000	3	96
r4.2xlarge	12	96	732000	10500	5	100000000	3	98
r4.2xlarge	12	96	732000	10500	5	100000000	5	112
r4.2xlarge	12	96	732000	10500	5	100000000	5	114
r4.2xlarge	12	96	732000	10500	5	100000000	5	116
r4.2xlarge	12	96	732000	10500	5	100000000	7	118
r4.2xlarge	12	96	732000	10500	5	100000000	7	120
r4.2xlarge	12	96	732000	10500	5	100000000	9	118
r4.2xlarge	12	96	732000	10500	5	100000000	9	120
r4.2xlarge	12	96	732000	10500	5	100000000	9	122
r4.2xlarge	12	96	732000	13200	5	125000000	3	130
r4.2xlarge	12	96	732000	13200	5	125000000	3	132
r4.2xlarge	12	96	732000	13200	5	125000000	3	134
r4.2xlarge	12	96	732000	13200	5	125000000	3	136
r4.2xlarge	12	96	732000	13200	5	125000000	5	148
r4.2xlarge	12	96	732000	13200	5	125000000	5	154
r4.2xlarge	12	96	732000	13200	5	125000000	5	158
r4.2xlarge	12	96	732000	13200	5	125000000	5	160
r4.2xlarge	12	96	732000	13200	5	125000000	7	158
r4.2xlarge	12	96	732000	13200	5	125000000	7	162
r4.2xlarge	12	96	732000	13200	5	125000000	7	164
r4.2xlarge	12	96	732000	13200	5	125000000	7	172
r4.2xlarge	12	96	732000	13200	5	125000000	9	164
r4.2xlarge	12	96	732000	13200	5	125000000	9	166
r4.2xlarge	12	96	732000	13200	5	125000000	9	172
r4.2xlarge	12	96	732000	13200	5	125000000	9	176
r4.2xlarge	12	96	732000	16000	5	150000000	3	138
r4.2xlarge	12	96	732000	16000	5	150000000	3	140
r4.2xlarge	12	96	732000	16000	5	150000000	3	142
r4.2xlarge	12	96	732000	16000	5	150000000	5	166
r4.2xlarge	12	96	732000	16000	5	150000000	5	170
r4.2xlarge	12	96	732000	16000	5	150000000	5	172
r4.2xlarge	12	96	732000	16000	5	150000000	7	168
r4.2xlarge	12	96	732000	16000	5	150000000	7	170
r4.2xlarge	12	96	732000	16000	5	150000000	7	174
r4.2xlarge	12	96	732000	16000	5	150000000	7	180
r4.2xlarge	12	96	732000	16000	5	150000000	9	180
r4.2xlarge	12	96	732000	16000	5	150000000	9	184
r4.2xlarge	12	96	732000	16000	5	150000000	9	186
r4.2xlarge	12	96	732000	16000	5	150000000	9	188
r4.2xlarge	12	96	732000	16000	5	150000000	9	194
r4.2xlarge	12	96	732000	18600	5	175000000	3	142
r4.2xlarge	12	96	732000	18600	5	175000000	3	144
r4.2xlarge	12	96	732000	18600	5	175000000	5	172
r4.2xlarge	12	96	732000	18600	5	175000000	5	174
r4.2xlarge	12	96	732000	18600	5	175000000	5	176
r4.2xlarge	12	96	732000	18600	5	175000000	7	176
r4.2xlarge	12	96	732000	18600	5	175000000	7	180
r4.2xlarge	12	96	732000	18600	5	175000000	7	182
r4.2xlarge	12	96	732000	18600	5	175000000	9	182
r4.2xlarge	12	96	732000	18600	5	175000000	9	184
r4.2xlarge	12	96	732000	18600	5	175000000	9	186
r4.2xlarge	12	96	732000	20300	10	100000000	3	140
r4.2xlarge	12	96	732000	20300	10	100000000	5	142
r4.2xlarge	12	96	732000	20300	10	100000000	5	144
r4.2xlarge	12	96	732000	20300	10	100000000	5	146
r4.2xlarge	12	96	732000	20300	10	100000000	7	146
r4.2xlarge	12	96	732000	20300	10	100000000	7	148
r4.2xlarge	12	96	732000	20300	10	100000000	7	152
r4.2xlarge	12	96	732000	20300	10	100000000	9	150
r4.2xlarge	12	96	732000	20300	10	100000000	9	152
r4.2xlarge	12	96	732000	20300	10	100000000	9	154
r4.2xlarge	12	96	732000	21300	5	200000000	3	160
r4.2xlarge	12	96	732000	21300	5	200000000	3	162
r4.2xlarge	12	96	732000	21300	5	200000000	3	164
r4.2xlarge	12	96	732000	21300	5	200000000	5	180
r4.2xlarge	12	96	732000	21300	5	200000000	5	182
r4.2xlarge	12	96	732000	21300	5	200000000	5	184
r4.2xlarge	12	96	732000	21300	5	200000000	5	186
r4.2xlarge	12	96	732000	21300	5	200000000	7	188
r4.2xlarge	12	96	732000	21300	5	200000000	7	190
r4.2xlarge	12	96	732000	21300	5	200000000	7	194
r4.2xlarge	12	96	732000	21300	5	200000000	9	196
r4.2xlarge	12	96	732000	21300	5	200000000	9	198
r4.2xlarge	12	96	732000	21300	5	200000000	9	200
r4.2xlarge	12	96	732000	21300	5	200000000	9	202
r4.2xlarge	12	96	732000	30500	15	100000000	3	144
r4.2xlarge	12	96	732000	30500	15	100000000	3	146
r4.2xlarge	12	96	732000	30500	15	100000000	5	168
r4.2xlarge	12	96	732000	30500	15	100000000	5	170
r4.2xlarge	12	96	732000	30500	15	100000000	5	174
r4.2xlarge	12	96	732000	30500	15	100000000	7	172
r4.2xlarge	12	96	732000	30500	15	100000000	7	174
r4.2xlarge	12	96	732000	30500	15	100000000	7	178
r4.2xlarge	12	96	732000	30500	15	100000000	9	180
r4.2xlarge	12	96	732000	30500	15	100000000	9	182
r4.xlarge	12	48	366000	16000	5	150000000	3	228
r4.xlarge	12	48	366000	16000	5	150000000	3	230
r4.xlarge	12	48	366000	16000	5	150000000	3	232
r4.xlarge	12	48	366000	16000	5	150000000	3	234
r4.xlarge	12	48	366000	16000	5	150000000	3	236
